playerID,awardID,yearID,lgID,tie,notes
bondto01,Triple Crown,1877,NL,,
hinespa01,Triple Crown,1878,NL,,
heckegu01,Triple Crown,1884,AA,,
radboch01,Triple Crown,1884,NL,,
oneilti01,Triple Crown,1887,AA,,
keefeti01,Triple Crown,1888,NL,,
clarkjo01,Triple Crown,1889,NL,,
duffyhu01,Triple Crown,1894,NL,,
rusieam01,Triple Crown,1894,NL,,
lajoina01,Triple Crown,1901,AL,,
youngcy01,Triple Crown,1901,AL,,
mathech01,Triple Crown,1905,NL,,
wadderu01,Triple Crown,1905,AL,,
mathech01,Triple Crown,1908,NL,,
cobbty01,Triple Crown,1909,AL,,
cobbty01,MVP,1911,AL,,
schulfr01,MVP,1911,NL,,
doylela01,MVP,1912,NL,,
speaktr01,MVP,1912,AL,,
daubeja01,MVP,1913,NL,,
johnswa01,MVP,1913,AL,,
johnswa01,Triple Crown,1913,AL,,
collied01,MVP,1914,AL,,
eversjo01,MVP,1914,NL,,
alexape01,Triple Crown,1915,NL,,
alexape01,Triple Crown,1916,NL,,
johnswa01,Triple Crown,1918,AL,,
vaughhi01,Triple Crown,1918,NL,,
alexape01,Triple Crown,1920,NL,,
sislege01,MVP,1922,AL,,
hornsro01,Triple Crown,1922,NL,,
ruthba01,MVP,1923,AL,,
johnswa01,MVP,1924,AL,,
vanceda01,MVP,1924,NL,,
johnswa01,Triple Crown,1924,AL,,
vanceda01,Triple Crown,1924,NL,,
hornsro01,MVP,1925,NL,,
peckiro01,MVP,1925,AL,,
hornsro01,Triple Crown,1925,NL,,
burnsge02,MVP,1926,AL,,
ofarrbo01,MVP,1926,NL,,
gehrilo01,MVP,1927,AL,,
wanerpa01,MVP,1927,NL,,
bottoji01,MVP,1928,NL,,
cochrmi01,MVP,1928,AL,,
hornsro01,MVP,1929,NL,,
grovele01,Triple Crown,1930,AL,,
friscfr01,MVP,1931,NL,,
grovele01,MVP,1931,AL,,
grovele01,Triple Crown,1931,AL,,
foxxji01,MVP,1932,AL,,
kleinch01,MVP,1932,NL,,
foxxji01,MVP,1933,AL,,
hubbeca01,MVP,1933,NL,,
foxxji01,Triple Crown,1933,AL,,
kleinch01,Triple Crown,1933,NL,,
cochrmi01,MVP,1934,AL,,
deandi01,MVP,1934,NL,,
gehrilo01,Triple Crown,1934,AL,,
gomezle01,Triple Crown,1934,AL,,
greenha01,MVP,1935,AL,,
hartnga01,MVP,1935,NL,,
hubbeca01,Major League Player of the Year,1936,ML,,
gehrilo01,MVP,1936,AL,,
hubbeca01,MVP,1936,NL,,
allenjo02,Major League Player of the Year,1937,ML,,
gehrich01,MVP,1937,AL,,
medwijo01,MVP,1937,NL,,
gomezle01,Triple Crown,1937,AL,,
medwijo01,Triple Crown,1937,NL,,
vandejo01,Major League Player of the Year,1938,ML,,
foxxji01,MVP,1938,AL,,
lombaer01,MVP,1938,NL,,
dimagjo01,Major League Player of the Year,1939,ML,,
dimagjo01,MVP,1939,AL,,
waltebu01,MVP,1939,NL,,
waltebu01,Triple Crown,1939,NL,,
fellebo01,Major League Player of the Year,1940,ML,,
